,game_id,rated,turns,victory_status,winner,moves,opening_eco,opening_classification,opening_name,opening_ply,move1,move2,move3,move4,move5,move6,move7,move8,move9,move10,white_wins,black_wins,draw,win_by_mate,win_by_resign,win_by_outoftime
25,wytBeWQ0,TRUE,51,resign,white,"['d3', 'd5', 'e4', 'e6', 'Qf3', 'Nc6', 'exd5', 'exd5', 'Qe3+', 'Qe7']",A00,Polish (Sokolsky)  opening,Mieses Opening,1,d3,d5,e4,e6,Qf3,Nc6,exd5,exd5,Qe3+,Qe7,1,0,0,0,1,0
26,WZ0QVNtC,TRUE,32,mate,black,"['Nc3', 'd5', 'Nxd5', 'Qxd5', 'c4', 'Qd8', 'b3', 'e5', 'g4', 'e4']",A00,Polish (Sokolsky)  opening,Van Geet Opening,1,Nc3,d5,Nxd5,Qxd5,c4,Qd8,b3,e5,g4,e4,0,1,0,1,0,0
27,Yb0t6EPX,FALSE,60,resign,black,"['h4', 'e5', 'h5', 'd5', 'e3', 'Nf6', 'f3', 'e4', 'g4', 'exf3']",A00,Polish (Sokolsky)  opening,Kadas Opening,1,h4,e5,h5,d5,e3,Nf6,f3,e4,g4,exf3,0,1,0,0,1,0
28,jVg6I7ln,TRUE,43,resign,white,"['b4', 'f6', 'Bb2', 'Nc6', 'b5', 'Na5', 'e4', 'a6', 'a4', 'c6']",A00,Polish (Sokolsky)  opening,Polish Opening,1,b4,f6,Bb2,Nc6,b5,Na5,e4,a6,a4,c6,1,0,0,0,1,0
29,RjReoOOB,TRUE,56,mate,black,"['e3', 'e5', 'b3', 'd5', 'd3', 'Bb4+', 'Bd2', 'Bxd2+', 'Nxd2', 'Nc6']",A00,Polish (Sokolsky)  opening,Van't Kruijs Opening,1,e3,e5,b3,d5,d3,Bb4+,Bd2,Bxd2+,Nxd2,Nc6,0,1,0,1,0,0
30,9y0B0iGR,TRUE,48,mate,black,"['e3', 'd5', 'b3', 'e5', 'Bb2', 'Nf6', 'a3', 'Nc6', 'h3', 'd4']",A00,Polish (Sokolsky)  opening,Van't Kruijs Opening,1,e3,d5,b3,e5,Bb2,Nf6,a3,Nc6,h3,d4,0,1,0,1,0,0
31,qMp7FQYG,TRUE,103,outoftime,white,"['e3', 'e5', 'd3', 'd5', 'c3', 'Nc6', 'Nd2', 'Nf6', 'h3', 'Bc5']",A00,Polish (Sokolsky)  opening,Van't Kruijs Opening,1,e3,e5,d3,d5,c3,Nc6,Nd2,Nf6,h3,Bc5,1,0,0,0,0,1
33,MEaajEWP,TRUE,38,resign,white,"['b4', 'e6', 'a3', 'Be7', 'e4', 'd6', 'd4', 'Nd7', 'Nc3', 'Ngf6']",A00,Polish (Sokolsky)  opening,Polish Opening,1,b4,e6,a3,Be7,e4,d6,d4,Nd7,Nc3,Ngf6,1,0,0,0,1,0
34,DaPlAfc1,TRUE,41,resign,black,"['g3', 'c6', 'Bg2', 'd5', 'd4', 'Nf6', 'Nc3', 'e6', 'Bg5', 'Be7']",A00,Polish (Sokolsky)  opening,Hungarian Opening: Slav Formation,4,g3,c6,Bg2,d5,d4,Nf6,Nc3,e6,Bg5,Be7,0,1,0,0,1,0
35,gyp74acJ,FALSE,42,mate,black,"['d3', 'd5', 'e4', 'Nf6', 'd4', 'dxe4', 'Bb5+', 'Bd7', 'a4', 'a6']",A00,Polish (Sokolsky)  opening,Mieses Opening,1,d3,d5,e4,Nf6,d4,dxe4,Bb5+,Bd7,a4,a6,0,1,0,1,0,0
36,dh097wuJ,FALSE,27,resign,black,"['f3', 'e5', 'Kf2', 'd5', 'e3', 'Nf6', 'Nc3', 'd4', 'exd4', 'exd4']",A00,Polish (Sokolsky)  opening,Gedult's Opening,1,f3,e5,Kf2,d5,e3,Nf6,Nc3,d4,exd4,exd4,0,1,0,0,1,0
37,hXMTCGhS,FALSE,129,draw,draw,"['e3', 'e5', 'Ne2', 'Nc6', 'f4', 'd5', 'd4', 'exd4', 'exd4', 'Bf5']",A00,Polish (Sokolsky)  opening,Van't Kruijs Opening,1,e3,e5,Ne2,Nc6,f4,d5,d4,exd4,exd4,Bf5,0,0,1,0,0,0
38,OuFnfDxZ,FALSE,16,resign,black,"['e3', 'c5', 'Bc4', 'e6', 'Qf3', 'Nc6', 'Nc3', 'd6', 'Ne4', 'd5']",A00,Polish (Sokolsky)  opening,Van't Kruijs Opening,1,e3,c5,Bc4,e6,Qf3,Nc6,Nc3,d6,Ne4,d5,0,1,0,0,1,0
39,tDPWm76y,TRUE,80,mate,black,"['e3', 'e5', 'Bc4', 'd5', 'Bd3', 'e4', 'Be2', 'Bb4', 'c3', 'Ba5']",A00,Polish (Sokolsky)  opening,Van't Kruijs Opening,1,e3,e5,Bc4,d5,Bd3,e4,Be2,Bb4,c3,Ba5,0,1,0,1,0,0
40,UIRCH8wE,TRUE,68,mate,black,"['g3', 'e5', 'Bg2', 'd5', 'd4', 'e4', 'f3', 'f5', 'fxe4', 'fxe4']",A00,Polish (Sokolsky)  opening,Hungarian Opening,1,g3,e5,Bg2,d5,d4,e4,f3,f5,fxe4,fxe4,0,1,0,1,0,0
41,dtelYjik,TRUE,75,resign,black,"['e3', 'e6', 'd4', 'd5', 'c4', 'Bb4+', 'Bd2', 'Bxd2+', 'Qxd2', 'dxc4']",A00,Polish (Sokolsky)  opening,Van't Kruijs Opening,1,e3,e6,d4,d5,c4,Bb4+,Bd2,Bxd2+,Qxd2,dxc4,0,1,0,0,1,0
42,RyjWP2nK,TRUE,62,resign,black,"['e3', 'e5', 'Qh5', 'Nc6', 'Bc4', 'd5', 'Bb5', 'Bd6', 'd4', 'Nf6']",A00,Polish (Sokolsky)  opening,Van't Kruijs Opening,1,e3,e5,Qh5,Nc6,Bc4,d5,Bb5,Bd6,d4,Nf6,0,1,0,0,1,0
43,cJlR3WNx,TRUE,57,resign,white,"['e3', 'e5', 'Qh5', 'Nc6', 'Bc4', 'g6', 'Qf3', 'Nf6', 'b3', 'd5']",A00,Polish (Sokolsky)  opening,Van't Kruijs Opening,1,e3,e5,Qh5,Nc6,Bc4,g6,Qf3,Nf6,b3,d5,1,0,0,0,1,0
44,R9tfi1qe,TRUE,52,resign,black,"['e3', 'e5', 'Qh5', 'd6', 'Bc4', 'g6', 'Qf3', 'Be6', 'Qxb7', 'c6']",A00,Polish (Sokolsky)  opening,Van't Kruijs Opening,1,e3,e5,Qh5,d6,Bc4,g6,Qf3,Be6,Qxb7,c6,0,1,0,0,1,0
45,J6wkfsNx,FALSE,57,resign,white,"['g3', 'e5', 'Bg2', 'd5', 'c3', 'e4', 'd3', 'f5', 'f3', 'Nf6']",A00,Polish (Sokolsky)  opening,Hungarian Opening,1,g3,e5,Bg2,d5,c3,e4,d3,f5,f3,Nf6,1,0,0,0,1,0
46,qNTu76Mb,FALSE,53,mate,white,"['d3', 'e6', 'g3', 'h6', 'Nf3', 'Nc6', 'Bg2', 'Nb4', 'Bd2', 'Nd5']",A00,Polish (Sokolsky)  opening,Mieses Opening,1,d3,e6,g3,h6,Nf3,Nc6,Bg2,Nb4,Bd2,Nd5,1,0,0,1,0,0
47,wXLDLB77,TRUE,68,mate,black,"['e3', 'e5', 'b3', 'd5', 'Bb2', 'Nc6', 'g3', 'Nf6', 'Bg2', 'Bc5']",A00,Polish (Sokolsky)  opening,Van't Kruijs Opening,1,e3,e5,b3,d5,Bb2,Nc6,g3,Nf6,Bg2,Bc5,0,1,0,1,0,0
48,ozxJJHwn,FALSE,11,resign,white,"['g4', 'e5', 'Bg2', 'Qg5', 'h3', 'Nf6', 'Nf3', 'Qh6', 'Nxe5', 'Nxg4']",A00,Polish (Sokolsky)  opening,Grob Opening,1,g4,e5,Bg2,Qg5,h3,Nf6,Nf3,Qh6,Nxe5,Nxg4,1,0,0,0,1,0
49,mBplzBLX,TRUE,56,resign,black,"['g3', 'd5', 'b3', 'Bf5', 'd3', 'Nf6', 'Nf3', 'e6', 'Nd4', 'c5']",A00,Polish (Sokolsky)  opening,Hungarian Opening,1,g3,d5,b3,Bf5,d3,Nf6,Nf3,e6,Nd4,c5,0,1,0,0,1,0
50,zI7YaeRl,FALSE,32,mate,black,"['h4', 'd5', 'Rh2', 'e5', 'g3', 'Nf6', 'Nh3', 'h6', 'f3', 'Bc5']",A00,Polish (Sokolsky)  opening,Kadas Opening,1,h4,d5,Rh2,e5,g3,Nf6,Nh3,h6,f3,Bc5,0,1,0,1,0,0
51,5zyzlYIk,TRUE,29,resign,black,"['e3', 'e5', 'Nc3', 'd5', 'Qh5', 'Nc6', 'Bb5', 'Nf6', 'Qxe5+', 'Be7']",A00,Polish (Sokolsky)  opening,Van't Kruijs Opening,1,e3,e5,Nc3,d5,Qh5,Nc6,Bb5,Nf6,Qxe5+,Be7,0,1,0,0,1,0
52,6zUtwmrU,TRUE,13,resign,white,"['e3', 'e5', 'b3', 'd5', 'Bb2', 'Nc6', 'Bb5', 'Bd7', 'Bxc6', 'Bxc6']",A00,Polish (Sokolsky)  opening,Van't Kruijs Opening,1,e3,e5,b3,d5,Bb2,Nc6,Bb5,Bd7,Bxc6,Bxc6,1,0,0,0,1,0
53,g7Agh37v,TRUE,42,resign,white,"['d3', 'd5', 'h4', 'e5', 'h5', 'Nf6', 'Bg5', 'Be7', 'Na3', 'Nc6']",A00,Polish (Sokolsky)  opening,Mieses Opening,1,d3,d5,h4,e5,h5,Nf6,Bg5,Be7,Na3,Nc6,1,0,0,0,1,0
54,elfEa1pg,TRUE,117,draw,draw,"['a3', 'c6', 'b4', 'b5', 'Bb2', 'a5', 'e3', 'axb4', 'axb4', 'Rxa1']",A00,Polish (Sokolsky)  opening,Anderssen Opening,1,a3,c6,b4,b5,Bb2,a5,e3,axb4,axb4,Rxa1,0,0,1,0,0,0
55,bHXgtlis,TRUE,92,outoftime,black,"['e3', 'e5', 'h4', 'Nf6', 'Nf3', 'Nc6', 'b3', 'Bc5', 'Bb2', 'O-O']",A00,Polish (Sokolsky)  opening,Van't Kruijs Opening,1,e3,e5,h4,Nf6,Nf3,Nc6,b3,Bc5,Bb2,O-O,0,1,0,0,0,1
56,LlI2vr6r,TRUE,43,draw,draw,"['g3', 'e5', 'Bg2', 'Nf6', 'd4', 'exd4', 'Qxd4', 'Nc6', 'Qa4', 'd5']",A00,Polish (Sokolsky)  opening,Hungarian Opening,1,g3,e5,Bg2,Nf6,d4,exd4,Qxd4,Nc6,Qa4,d5,0,0,1,0,0,0
57,DFO2Wi3d,TRUE,95,mate,white,"['g3', 'e5', 'Bg2', 'd5', 'h3', 'Nc6', 'b3', 'Nf6', 'Bb2', 'Bf5']",A00,Polish (Sokolsky)  opening,Hungarian Opening,1,g3,e5,Bg2,d5,h3,Nc6,b3,Nf6,Bb2,Bf5,1,0,0,1,0,0
58,1uRmJzvQ,TRUE,78,resign,black,"['g3', 'd5', 'Bg2', 'e5', 'c4', 'c6', 'd4', 'e4', 'Nc3', 'Nf6']",A00,Polish (Sokolsky)  opening,Hungarian Opening,1,g3,d5,Bg2,e5,c4,c6,d4,e4,Nc3,Nf6,0,1,0,0,1,0
59,4Oie3kEE,TRUE,47,mate,white,"['e3', 'd5', 'b3', 'Bf5', 'd3', 'd4', 'e4', 'Bg6', 'Bg5', 'Nc6']",A00,Polish (Sokolsky)  opening,Van't Kruijs Opening,1,e3,d5,b3,Bf5,d3,d4,e4,Bg6,Bg5,Nc6,1,0,0,1,0,0
60,jcdcODHY,TRUE,62,resign,black,"['g3', 'e5', 'Bg2', 'Nf6', 'Nh3', 'd5', 'O-O', 'e4', 'b3', 'Nc6']",A00,Polish (Sokolsky)  opening,Hungarian Opening,1,g3,e5,Bg2,Nf6,Nh3,d5,O-O,e4,b3,Nc6,0,1,0,0,1,0
61,6MhNGEoR,TRUE,20,mate,black,"['g3', 'e5', 'Bg2', 'Qf6', 'Nh3', 'Bc5', 'O-O', 'Qh6', 'b3', 'e4']",A00,Polish (Sokolsky)  opening,Hungarian Opening,1,g3,e5,Bg2,Qf6,Nh3,Bc5,O-O,Qh6,b3,e4,0,1,0,1,0,0
62,9BknF5nX,TRUE,71,mate,white,"['e3', 'c5', 'e4', 'e5', 'Qe2', 'c4', 'Qxc4', 'Nf6', 'd4', 'Nc6']",A00,Polish (Sokolsky)  opening,Van't Kruijs Opening,1,e3,c5,e4,e5,Qe2,c4,Qxc4,Nf6,d4,Nc6,1,0,0,1,0,0
63,pWHXU16j,TRUE,52,resign,black,"['g3', 'e5', 'e4', 'Nf6', 'Bg2', 'Bc5', 'h3', 'O-O', 'Nc3', 'Nc6']",A00,Polish (Sokolsky)  opening,Hungarian Opening,1,g3,e5,e4,Nf6,Bg2,Bc5,h3,O-O,Nc3,Nc6,0,1,0,0,1,0
64,o9LW4FSz,TRUE,69,mate,white,"['g3', 'e5', 'Bg2', 'Bc5', 'c4', 'Qf6', 'e3', 'Nc6', 'b3', 'Nge7']",A00,Polish (Sokolsky)  opening,Hungarian Opening,1,g3,e5,Bg2,Bc5,c4,Qf6,e3,Nc6,b3,Nge7,1,0,0,1,0,0
65,u85If0EB,FALSE,26,resign,white,"['e3', 'e5', 'Bc4', 'Nh6', 'Qh5', 'Qf6', 'e4', 'c6', 'Nf3', 'd5']",A00,Polish (Sokolsky)  opening,Van't Kruijs Opening,1,e3,e5,Bc4,Nh6,Qh5,Qf6,e4,c6,Nf3,d5,1,0,0,0,1,0
66,s1y7uuQ4,TRUE,40,resign,black,"['e3', 'd5', 'd3', 'd4', 'exd4', 'Qxd4', 'c3', 'Qe5+', 'Be3', 'Qb5']",A00,Polish (Sokolsky)  opening,Van't Kruijs Opening,1,e3,d5,d3,d4,exd4,Qxd4,c3,Qe5+,Be3,Qb5,0,1,0,0,1,0
67,S8Pt8fEf,TRUE,45,resign,black,"['e3', 'e5', 'c3', 'f6', 'h4', 'Nh6', 'a4', 'Be7', 'a5', 'O-O']",A00,Polish (Sokolsky)  opening,Van't Kruijs Opening,1,e3,e5,c3,f6,h4,Nh6,a4,Be7,a5,O-O,0,1,0,0,1,0
68,Ie9PaBhn,TRUE,102,mate,black,"['e3', 'g6', 'Nf3', 'Bg7', 'd4', 'e6', 'Bd3', 'd5', 'O-O', 'Ne7']",A00,Polish (Sokolsky)  opening,Van't Kruijs Opening,1,e3,g6,Nf3,Bg7,d4,e6,Bd3,d5,O-O,Ne7,0,1,0,1,0,0
69,Ls1Khltt,TRUE,32,resign,black,"['g3', 'd5', 'Bg2', 'e5', 'd3', 'Nf6', 'c4', 'dxc4', 'Qa4+', 'Qd7']",A00,Polish (Sokolsky)  opening,Hungarian Opening,1,g3,d5,Bg2,e5,d3,Nf6,c4,dxc4,Qa4+,Qd7,0,1,0,0,1,0
70,sv4OVqgE,TRUE,69,resign,white,"['g3', 'e5', 'Bg2', 'c6', 'd3', 'd5', 'Nf3', 'Nd7', 'O-O', 'Ngf6']",A00,Polish (Sokolsky)  opening,Hungarian Opening,1,g3,e5,Bg2,c6,d3,d5,Nf3,Nd7,O-O,Ngf6,1,0,0,0,1,0
71,I3qHaFFL,TRUE,46,mate,black,"['e3', 'e5', 'a3', 'd5', 'h3', 'Nf6', 'Nf3', 'Nc6', 'Bb5', 'Bd7']",A00,Polish (Sokolsky)  opening,Van't Kruijs Opening,1,e3,e5,a3,d5,h3,Nf6,Nf3,Nc6,Bb5,Bd7,0,1,0,1,0,0
75,LtakuRwC,TRUE,62,mate,black,"['e3', 'e5', 'd3', 'd5', 'Be2', 'f5', 'Bd2', 'Nf6', 'Nf3', 'Nc6']",A00,Polish (Sokolsky)  opening,Van't Kruijs Opening,1,e3,e5,d3,d5,Be2,f5,Bd2,Nf6,Nf3,Nc6,0,1,0,1,0,0
81,Ry7WqOgZ,TRUE,26,mate,black,"['e3', 'd6', 'd3', 'Nc6', 'Be2', 'Nf6', 'Bd2', 'Bd7', 'Nf3', 'e5']",A00,Polish (Sokolsky)  opening,Van't Kruijs Opening,1,e3,d6,d3,Nc6,Be2,Nf6,Bd2,Bd7,Nf3,e5,0,1,0,1,0,0
82,Z7JqMQzu,TRUE,38,mate,black,"['e3', 'e5', 'd3', 'd5', 'Be2', 'Nf6', 'Bd2', 'Nc6', 'Nf3', 'Bg4']",A00,Polish (Sokolsky)  opening,Van't Kruijs Opening,1,e3,e5,d3,d5,Be2,Nf6,Bd2,Nc6,Nf3,Bg4,0,1,0,1,0,0
83,b5lyUYiv,TRUE,44,mate,black,"['e3', 'e5', 'd3', 'd5', 'Be2', 'Nf6', 'Bd2', 'Nc6', 'Nf3', 'e4']",A00,Polish (Sokolsky)  opening,Van't Kruijs Opening,1,e3,e5,d3,d5,Be2,Nf6,Bd2,Nc6,Nf3,e4,0,1,0,1,0,0
84,CFPz3QHX,TRUE,64,mate,black,"['e3', 'e5', 'd3', 'd5', 'Be2', 'd4', 'Bd2', 'dxe3', 'Bxe3', 'h6']",A00,Polish (Sokolsky)  opening,Van't Kruijs Opening,1,e3,e5,d3,d5,Be2,d4,Bd2,dxe3,Bxe3,h6,0,1,0,1,0,0
85,dQCCZY4f,TRUE,12,resign,white,"['g3', 'd5', 'Bg2', 'e5', 'Nf3', 'e4', 'Nd4', 'Bc5', 'c3', 'Na6']",A00,Polish (Sokolsky)  opening,Hungarian Opening,1,g3,d5,Bg2,e5,Nf3,e4,Nd4,Bc5,c3,Na6,1,0,0,0,1,0
86,ALSAOdUO,FALSE,90,mate,black,"['d3', 'e5', 'e3', 'Nf6', 'f3', 'Nh5', 'g4', 'Qh4+', 'Kd2', 'Nf6']",A00,Polish (Sokolsky)  opening,Mieses Opening: Reversed Rat,2,d3,e5,e3,Nf6,f3,Nh5,g4,Qh4+,Kd2,Nf6,0,1,0,1,0,0
87,NUxCVtS8,TRUE,14,outoftime,black,"['h4', 'e5', 'd4', 'd6', 'dxe5', 'dxe5', 'e4', 'Qxd1+', 'Kxd1', 'Bg4+']",A00,Polish (Sokolsky)  opening,Kadas Opening,1,h4,e5,d4,d6,dxe5,dxe5,e4,Qxd1+,Kxd1,Bg4+,0,1,0,0,0,1
88,xEyEg682,TRUE,19,resign,white,"['h4', 'e5', 'g3', 'Nc6', 'Bh3', 'Nf6', 'b4', 'Bc5', 'bxc5', 'Nd4']",A00,Polish (Sokolsky)  opening,Kadas Opening,1,h4,e5,g3,Nc6,Bh3,Nf6,b4,Bc5,bxc5,Nd4,1,0,0,0,1,0
89,ipabyOYy,TRUE,30,mate,black,"['Nc3', 'e5', 'Nf3', 'Nc6', 'd4', 'd6', 'd5', 'Nd4', 'Nxd4', 'exd4']",A00,Polish (Sokolsky)  opening,Van Geet Opening: Napoleon Attack,5,Nc3,e5,Nf3,Nc6,d4,d6,d5,Nd4,Nxd4,exd4,0,1,0,1,0,0
90,JCwwpym8,TRUE,47,mate,white,"['g3', 'Nf6', 'Bg2', 'e5', 'd3', 'Nc6', 'Nf3', 'd5', 'Nfd2', 'Bd6']",A00,Polish (Sokolsky)  opening,Hungarian Opening: Indian Defense,2,g3,Nf6,Bg2,e5,d3,Nc6,Nf3,d5,Nfd2,Bd6,1,0,0,1,0,0
91,c5C1WiVk,TRUE,49,resign,white,"['b4', 'e5', 'Ba3', 'Qf6', 'e4', 'Nh6', 'h3', 'Nc6', 'c3', 'a6']",A00,Polish (Sokolsky)  opening,Polish Opening,1,b4,e5,Ba3,Qf6,e4,Nh6,h3,Nc6,c3,a6,1,0,0,0,1,0
92,FeAUHZYC,TRUE,40,resign,white,"['g3', 'e5', 'c3', 'Nf6', 'b4', 'd5', 'f3', 'Nc6', 'Nh3', 'Bxh3']",A00,Polish (Sokolsky)  opening,Hungarian Opening,1,g3,e5,c3,Nf6,b4,d5,f3,Nc6,Nh3,Bxh3,1,0,0,0,1,0
